calories,sedentaryminutes,totalminutesasleep,sleep_efficiency,cluster,day_type_Weekend,active_day
-0.16402609784887356,-0.9130317161984609,1.1826181670211176,1.111423773116707,-1.23523853899498,-0.6019292654288461,1
-0.6426721025618406,0.6632773640571217,-0.8236482522613263,-0.8726527060094256,1.0498767902159056,1.6613247725836153,0
0.9968280055354487,-0.3235442295739559,0.4826541051825761,1.1769237338058065,-1.23523853899498,-0.6019292654288461,0
1.0628481441165476,-1.111698769701747,0.754614664240863,1.1876123099151505,-0.0926808743895372,-0.6019292654288461,1
0.5429395527903937,0.8489170697897006,-0.8236482522613263,-0.8726527060094256,1.0498767902159056,-0.6019292654288461,0
0.10005445647552201,-0.4896429136504739,0.6565305281870546,1.0647396206666802,-1.23523853899498,-0.6019292654288461,0
-0.908128076440009,-0.4473040333956752,0.12598451953236386,0.5108863388097793,-1.23523853899498,-0.6019292654288461,1
-0.6825592696212545,0.8977696239298529,-0.5606044328442947,1.108371347764205,-1.23523853899498,-0.6019292654288461,0
-0.37171445046858054,-0.7501898690646198,1.3743280693081068,1.237081950128029,-1.23523853899498,-0.6019292654288461,0
-1.4459171219652105,-0.4798724028224434,-0.8236482522613263,-0.8726527060094256,1.0498767902159056,1.6613247725836153,0
0.8524089523892948,-0.8348676295742172,1.10236751024982,1.2271983917205038,-1.23523853899498,-0.6019292654288461,0
0.27198190069713374,-0.4733587289370898,-0.261893654862242,1.1345954692232896,1.0498767902159056,-0.6019292654288461,1
1.188011323509881,-1.1800923454979604,0.8883657588596926,1.2121082511619135,-0.0926808743895372,1.6613247725836153,0
-0.3098205705488003,1.467716088898297,-0.8236482522613263,-0.8726527060094256,1.0498767902159056,-0.6019292654288461,0
-0.8544867138428662,0.5525449080061097,-0.8236482522613263,-0.8726527060094256,-1.23523853899498,-0.6019292654288461,1
0.7478770663025549,0.6437363424010607,-0.8236482522613263,-0.8726527060094256,-0.0926808743895372,-0.6019292654288461,1
-0.6454229416693864,-0.5026702614211812,0.6832807471108205,1.284305290888516,-1.23523853899498,-0.6019292654288461,1
-0.6440475221156134,-0.8446381404022476,0.8214902115502778,1.1610256850948597,-1.23523853899498,1.6613247725836153,1
-0.21354120178469774,-0.8772065098290159,1.1915349066623728,1.0846544872872275,-1.23523853899498,-0.6019292654288461,1
1.1013598916221887,-0.6980804779817906,0.7991983624471395,1.1035269513092398,1.0498767902159056,1.6613247725836153,0
