antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule_name
frozenset({'lifestyle_group_Highly_Active'}),frozenset({'calorie_group_High_Burn'}),0.3223404255319149,0.33404255319148934,0.18829787234042553,0.5841584158415841,1.7487544932837233,1.0,0.08062245359891354,1.6014690982776087,0.6318282202059442,0.4022727272727272,0.375573340081612,0.5739263416787539,lifestyle_group_Highly_Active,calorie_group_High_Burn,lifestyle_group_Highly_Active -> calorie_group_High_Burn
frozenset({'calorie_group_High_Burn'}),frozenset({'lifestyle_group_Highly_Active'}),0.33404255319148934,0.3223404255319149,0.18829787234042553,0.5636942675159236,1.7487544932837233,1.0,0.08062245359891354,1.5531759589998446,0.6429306330210646,0.4022727272727272,0.35615794578487936,0.5739263416787539,calorie_group_High_Burn,lifestyle_group_Highly_Active,calorie_group_High_Burn -> lifestyle_group_Highly_Active
frozenset({'lifestyle_group_Sedentary_Lifestyle'}),frozenset({'calorie_group_Low_Burn'}),0.3223404255319149,0.33297872340425533,0.18404255319148935,0.570957095709571,1.7146954312044624,1.0,0.0767100497962879,1.554672667757774,0.6150670139109445,0.3905191873589164,0.3567777830414621,0.5618363753308238,lifestyle_group_Sedentary_Lifestyle,calorie_group_Low_Burn,lifestyle_group_Sedentary_Lifestyle -> calorie_group_Low_Burn
frozenset({'calorie_group_Low_Burn'}),frozenset({'lifestyle_group_Sedentary_Lifestyle'}),0.33297872340425533,0.3223404255319149,0.18404255319148935,0.5527156549520766,1.7146954312044622,1.0,0.0767100497962879,1.5150531914893617,0.6248766951535434,0.3905191873589164,0.3399571674332057,0.5618363753308238,calorie_group_Low_Burn,lifestyle_group_Sedentary_Lifestyle,calorie_group_Low_Burn -> lifestyle_group_Sedentary_Lifestyle
"frozenset({'lifestyle_group_Sedentary_Lifestyle', 'day_type_Weekday'})",frozenset({'sleep_group_No_Sleep_Data'}),0.22872340425531915,0.5638297872340425,0.16063829787234044,0.7023255813953488,1.2456340500219394,1.0,0.03167722951561794,1.4652593085106385,0.25567481160082217,0.2542087542087542,0.3175269427112876,0.4936156208863537,"lifestyle_group_Sedentary_Lifestyle, day_type_Weekday",sleep_group_No_Sleep_Data,"lifestyle_group_Sedentary_Lifestyle, day_type_Weekday -> sleep_group_No_Sleep_Data"
frozenset({'lifestyle_group_Sedentary_Lifestyle'}),frozenset({'sleep_group_No_Sleep_Data'}),0.3223404255319149,0.5638297872340425,0.22021276595744682,0.6831683168316832,1.2116570147580796,1.0,0.03846763241285653,1.3766622340425534,0.257775350943053,0.33067092651757196,0.2736054093214201,0.5368671772837661,lifestyle_group_Sedentary_Lifestyle,sleep_group_No_Sleep_Data,lifestyle_group_Sedentary_Lifestyle -> sleep_group_No_Sleep_Data
